Time [s],Channel 0,Channel 2
6.953013440,1,0
6.953017280,1,1
6.958013440,0,1
6.958017280,0,0
6.963013280,1,0
6.963017120,1,1
6.968013280,0,1
6.968017120,0,0
6.973013120,1,0
6.973016000,1,1
6.978012960,0,1
6.978017120,0,0
6.983012960,1,0
6.983016800,1,1
6.988012800,0,1
6.988016800,0,0
6.993012800,1,0
6.993016480,1,1
6.998012640,0,1
6.998016480,0,0
7.003012640,1,0
7.003016320,1,1
7.008012480,0,1
7.008016320,0,0
7.013012320,1,0
7.013016160,1,1
7.018012320,0,1
7.018016160,0,0
7.023012160,1,0
7.023016000,1,1
7.028012160,0,1
7.028016000,0,0
7.033012000,1,0
7.033015840,1,1
7.038012000,0,1
7.038015840,0,0
7.043011840,1,0
7.043015680,1,1
7.048011840,0,1
7.048015680,0,0
7.053011680,1,0
7.053015520,1,1
7.058011680,0,1
7.058015520,0,0
7.063011520,1,0
7.063015360,1,1
7.068011360,0,1
7.068015360,0,0
7.073011360,1,0
7.073015200,1,1
7.078011200,0,1
7.078015200,0,0
7.083011200,1,0
7.083014880,1,1
7.088011040,0,1
7.088014880,0,0
7.093011040,1,0
7.093014720,1,1
7.098010880,0,1
7.098014720,0,0
7.103010720,1,0
7.103014560,1,1
7.108010720,0,1
7.108014560,0,0
7.113010560,1,0
7.113014400,1,1
7.118010560,0,1
7.118014400,0,0
7.123010400,1,0
7.123014240,1,1
7.128010400,0,1
7.128014240,0,0
7.133010240,1,0
7.133014080,1,1
7.138010240,0,1
7.138014080,0,0
7.143010080,1,0
7.143013920,1,1
7.148010080,0,1
7.148013920,0,0
7.153009920,1,0
7.153013920,1,1
7.158009760,0,1
7.158013760,0,0
7.163009760,1,0
7.163013600,1,1
7.168009600,0,1
7.168013440,0,0
7.173009600,1,0
7.173013280,1,1
7.178009440,0,1
7.178013280,0,0
7.183009440,1,0
7.183013120,1,1
7.188009280,0,1
7.188013120,0,0
7.193009120,1,0
7.193012960,1,1
7.198009120,0,1
7.198012960,0,0
7.203008960,1,0
7.203012800,1,1
7.208008960,0,1
7.208012800,0,0
7.213008800,1,0
7.213012640,1,1
7.218008800,0,1
